notificationId,content,views,startDate,accountId,productId
800150,The product is on sale.,4,2019-06-30,10000017,2000509
800151,The product is on sale.,6,2019-10-07,10000020,2000512
800152,The product is on sale.,16,2019-06-23,10000023,2000515
800153,The product is on sale.,10,2019-10-17,10000026,2000518
800154,The product is on sale.,17,2019-10-28,10000029,2000521
800155,The product is on sale.,7,2019-10-14,10000032,2000524
800156,The product is on sale.,16,2019-08-07,10000035,2000527
800157,The product is on sale.,10,2019-05-21,10000038,2000530
800158,The product is on sale.,2,2019-10-28,10000041,2000533
800159,The product is on sale.,8,2019-09-13,10000044,2000536
800160,The product is on sale.,17,2019-07-26,10000047,2000539
800161,The product is on sale.,20,2019-09-06,10000050,2000542
800162,The product is on sale.,19,2019-11-30,10000053,2000545
800163,The product is on sale.,19,2019-06-12,10000056,2000548
800164,The product is on sale.,7,2019-09-27,10000059,2000551
800165,The product is on sale.,16,2019-12-05,10000062,2000554
800166,The product is on sale.,1,2019-10-23,10000065,2000557
800167,The product is on sale.,1,2019-07-19,10000068,2000560
800168,The product is on sale.,6,2020-01-16,10000071,2000563
800169,The product is on sale.,9,2019-06-18,10000074,2000566
800170,The product is on sale.,15,2019-05-23,10000077,2000569
800171,The product is on sale.,18,2019-07-04,10000080,2000572
800172,The product is on sale.,12,2019-10-07,10000083,2000575
800173,The product is on sale.,5,2019-08-26,10000086,2000578
800174,The product is on sale.,3,2019-08-12,10000089,2000581
800175,The product is on sale.,4,2019-10-26,10000092,2000584
800176,The product is on sale.,8,2019-05-25,10000095,2000587
800177,The product is on sale.,15,2019-08-18,10000098,2000590
800178,The product is on sale.,5,2019-11-18,10000101,2000593
800179,The product is on sale.,2,2019-06-22,10000104,2000596
800180,The product is on sale.,5,2019-06-02,10000107,2000599
800181,The product is on sale.,11,2019-09-06,10000110,2000602
800182,The product is on sale.,4,2019-09-19,10000113,2000605
800183,The product is on sale.,19,2019-11-07,10000116,2000608
800184,The product is on sale.,4,2019-06-03,10000119,2000611
800185,The product is on sale.,19,2019-08-02,10000122,2000614
800186,The product is on sale.,17,2019-09-05,10000125,2000617
800187,The product is on sale.,11,2019-12-30,10000128,2000620
