policyNumber,validity,refundPercent,orderNumber,productId
AS150026,7,43,8000058,2000500
AS150027,5,40,8000078,2000506
AS150028,9,63,8000098,2000512
AS150029,10,53,8000118,2000518
AS150030,13,65,8000138,2000524
AS150031,14,70,8000158,2000530
AS150032,14,57,8000178,2000536
AS150033,11,49,8000198,2000542
AS150034,10,53,8000218,2000548
AS150035,13,46,8000238,2000554
AS150036,14,67,8000258,2000560
AS150037,10,61,8000278,2000566
AS150038,6,54,8000298,2000572
AS150039,12,46,8000318,2000578
AS150040,8,62,8000338,2000584
AS150041,13,42,8000358,2000590
AS150042,10,49,8000378,2000596
AS150043,11,67,8000398,2000602
AS150044,6,45,8000418,2000608
AS150045,11,44,8000438,2000614
AS150046,6,69,8000458,2000620
AS150047,5,63,8000478,2000626
AS150048,8,49,8000498,2000632
AS150049,9,58,8000518,2000638
AS150050,11,65,8000538,2000644
AS150051,11,58,8000558,2000650
AS150052,13,44,8000578,2000656
AS150053,12,59,8000598,2000662
AS150054,6,58,8000618,2000668
AS150055,8,69,8000638,2000674
AS150056,8,44,8000658,2000680
AS150057,12,41,8000678,2000686
AS150058,11,64,8000698,2000692
AS150059,13,70,8000718,2000698
AS150060,7,69,8000738,2000704
AS150061,9,59,8000758,2000710
AS150062,5,61,8000778,2000716
AS150063,9,70,8000798,2000722
AS150064,9,48,8000818,2000728
AS150065,7,61,8000838,2000734
AS150066,6,50,8000858,2000740
AS150067,14,60,8000878,2000746
AS150068,9,54,8000898,2000752
AS150069,5,65,8000918,2000758
AS150070,14,68,8000938,2000764
AS150071,6,55,8000958,2000770
AS150072,8,62,8000978,2000776
AS150073,7,47,8000998,2000782
AS150074,10,62,8001018,2000788
AS150075,14,57,8001038,2000794
AS150076,10,42,8001058,2000800
AS150077,6,54,8001078,2000806
AS150078,12,49,8001098,2000812
AS150079,5,57,8001118,2000818
AS150080,10,61,8001138,2000824
AS150081,14,43,8001158,2000830
AS150082,13,66,8001178,2000836
AS150083,13,47,8001198,2000842
AS150084,6,43,8001218,2000848
AS150085,13,65,8001238,2000854
AS150086,7,50,8001258,2000860
AS150087,5,60,8001278,2000866
AS150088,7,49,8001298,2000872
AS150089,10,43,8001318,2000878
AS150090,5,61,8001338,2000884
AS150091,11,57,8001358,2000890
AS150092,11,54,8001378,2000896
AS150093,6,50,8001398,2000902
AS150094,6,67,8001418,2000908
AS150095,7,40,8001438,2000914
AS150096,6,69,8001458,2000920
AS150097,13,58,8001478,2000926
AS150098,8,62,8001498,2000932
AS150099,8,58,8001518,2000938
AS150100,14,52,8001538,2000944
AS150101,5,69,8001558,2000950
AS150102,12,49,8001578,2000956
AS150103,9,69,8001598,2000962
AS150104,7,50,8001618,2000968
AS150105,11,50,8001638,2000974
AS150106,14,53,8001658,2000980
AS150107,14,64,8001678,2000986
AS150108,8,51,8001698,2000992
AS150109,10,64,8001718,2000998
AS150110,14,57,8001738,2001004
AS150111,7,40,8001758,2001010
AS150112,5,41,8001778,2001016
AS150113,8,65,8001798,2001022
AS150114,10,45,8001818,2001028
AS150115,6,45,8001838,2001034
AS150116,7,59,8001858,2001040
AS150117,12,70,8001878,2001046
AS150118,10,63,8001898,2001052
AS150119,8,62,8001918,2001058
AS150120,13,55,8001938,2001064
AS150121,10,45,8001958,2001070
AS150122,5,52,8001978,2001076
AS150123,5,55,8001998,2001082
AS150124,5,45,8002018,2001088
AS150125,11,50,8002038,2001094
AS150126,10,53,8002058,2001100
AS150127,11,68,8002078,2001106
AS150128,7,46,8002098,2001112
AS150129,11,49,8002118,2001118
AS150130,11,67,8002138,2001124
AS150131,7,70,8002158,2001130
AS150132,5,45,8002178,2001136
AS150133,13,61,8002198,2001142
AS150134,5,40,8002218,2001148
AS150135,7,56,8002238,2001154
AS150136,10,56,8002258,2001160
AS150137,14,51,8002278,2001166
AS150138,12,55,8002298,2001172
AS150139,13,49,8002318,2001178
AS150140,11,68,8002338,2001184
AS150141,9,43,8002358,2001190
AS150142,14,66,8002378,2001196
AS150143,10,45,8002398,2001202
